transition,dist
E1_E2,0.04
E1_F1,0.42
E1_F2,0.28
E1_H1,0.26
E1_H2,0.89
E1_I1,0.07
E1_I2,0.07
E1_N,0.32
E2_F1,1.53
E2_F2,0.98
E2_H1,0.95
E2_H2,2.04
E2_I1,0.19
E2_I2,0.1
E2_N,1.03
F1_F2,0.04
F1_H1,0.11
F1_H2,0.35
F1_I1,0.13
F1_I2,0.22
F1_N,0.2
F2_H1,0.24
F2_H2,0.62
F2_I1,0.25
F2_I2,0.11
F2_N,0.56
H1_H2,0.12
H1_I1,0.07
H1_I2,0.22
H1_N,0.07
H2_I1,0.25
H2_I2,0.59
H2_N,0.4
I1_I2,0.09
I1_N,0.11
I2_N,0.35
E2_E1,0.04
F1_E1,0.42
F2_E1,0.28
H1_E1,0.26
H2_E1,0.89
I1_E1,0.07
I2_E1,0.07
N_E1,0.32
F1_E2,1.53
F2_E2,0.98
H1_E2,0.95
H2_E2,2.04
I1_E2,0.19
I2_E2,0.1
N_E2,1.03
F2_F1,0.04
H1_F1,0.11
H2_F1,0.35
I1_F1,0.13
I2_F1,0.22
N_F1,0.2
H1_F2,0.24
H2_F2,0.62
I1_F2,0.25
I2_F2,0.11
N_F2,0.56
H2_H1,0.12
I1_H1,0.07
I2_H1,0.22
N_H1,0.07
I1_H2,0.25
I2_H2,0.59
N_H2,0.4
I2_I1,0.09
N_I1,0.11
N_I2,0.35
E1_E1,0
E2_E2,0
I1_I1,0
I2_I2,0
F1_F1,0
F2_F2,0
H1_H1,0
H2_H2,0
N_N,0
